From,To,Weight
37,41,0.222
37,34,0.211
37,43,0.278
37,44,0.438
37,11,0.05
37,50,0.111
37,51,0.353
37,52,0.222
38,68,0.25
38,46,0.267
38,69,0.267
38,47,0.235
38,11,0.357
38,50,0.059
38,13,0
39,15,0
39,73,0.167
39,75,0.235
39,92,0.133
39,76,0.4
39,93,0.105
39,57,0.267
40,9,0
40,67,0
40,41,0.312
40,33,0.375
40,34,0.222
40,43,0.222
40,51,0.222
40,45,0.4
40,52,0.235
41,104,0
41,33,0.235
41,34,0.4
41,44,0.235
41,51,0.235
41,45,0.333
41,113,0
42,110,0.2
42,106,0.118
42,115,0.048
42,50,0.125
42,20,0
42,82,0.05
43,65,0
43,114,0.048
43,44,0.375
43,51,0.294
43,52,0.4
44,51,0.294
44,52,0.235
45,21,0
45,52,0.25
46,75,0
46,69,0.385
46,47,0.333
46,64,0.053
46,11,0.286
46,89,0
47,99,0.048
47,114,0.048
47,115,0.045
47,11,0.25
47,108,0
47,87,0.05
48,66,0.4
49,38,0.053
49,31,0
49,33,0.235
49,34,0.235
49,43,0.312
49,44,0.312
49,51,0.312
49,45,0.25
49,52,0.429
50,51,0.056
50,113,0.059
51,45,0.235
51,52,0.4
53,58,0.353
53,59,0.353
53,60,0.353
53,40,0
53,61,0.353
53,62,0.045
53,63,0.533
53,64,0.353
53,65,0.045
53,48,0.375
53,66,0.353
54,55,0.375
54,30,0.294
54,109,0
54,32,0.294
54,35,0.375
54,36,0.294
55,30,0.294
55,78,0.05
55,31,0.294
55,65,0.048
55,35,0.375
55,36,0.294
56,97,0.467
56,19,0
56,98,0.4
56,20,0.4
57,80,0.118
58,4,0.1
58,59,0.375
58,60,0.467
58,9,0.05
58,67,0.375
58,61,0.375
58,63,0.375
58,64,0.375
58,11,0
58,66,0.375
59,60,0.375
59,54,0
59,102,0.048
59,67,0.375
59,61,0.375
59,63,0.375
59,48,0.4
59,66,0.467
60,6,0.1
60,30,0
60,67,0.375
60,61,0.375
60,63,0.375
60,64,0.467
60,48,0.5
61,64,0.467
61,48,0.4
61,66,0.375
62,34,0
62,63,0.048
62,114,0.467
62,115,0.438
62,77,0.467
62,82,0.467
63,64,0.375
63,65,0.048
63,51,0
63,48,0.4
63,66,0.375
64,48,0.4
64,66,0.467
65,12,0.05
65,98,0.167
65,35,0.048
67,61,0.467
67,63,0.375
67,64,0.467
67,20,0
67,48,0.4
67,66,0.375
68,14,0
68,46,0.267
68,69,0.267
68,103,0
68,47,0.235
68,44,0
68,86,0
68,11,0.267
68,77,0
69,67,0.111
69,61,0.111
69,47,0.25
69,64,0.176
69,11,0.286
70,27,0
70,28,0.25
70,71,0
70,72,0.167
70,39,0.333
70,73,0.105
70,74,0.125
70,75,0.312
70,76,0.312
70,57,0.267
71,84,0.294
71,15,0.222
71,42,0
71,85,0.222
71,10,0.294
71,86,0.375
71,87,0.235
71,88,0.312
71,89,0.312
72,90,0.048
72,91,0.294
72,73,0.467
72,74,0.118
72,75,0.158
72,92,0.059
72,78,0.4
72,93,0.294
72,79,0.4
72,80,0.312
73,8,0.048
73,92,0.125
73,78,0.312
73,93,0.375
73,79,0.312
73,98,0.05
73,80,0.312
74,16,0
74,76,0.056
74,42,0.059
74,110,0.067
75,55,0.048
75,76,0.222
75,78,0.235
75,79,0.167
75,57,0.25
76,93,0.1
76,99,0
76,97,0.048
76,57,0.333
77,82,0.467
78,56,0.05
78,93,0.312
78,79,0.538
78,80,0.429
79,33,0
79,80,0.429
80,35,0
81,36,0.048
81,113,0.235
83,61,0
83,62,0.438
83,114,0.438
83,115,0.412
83,13,0.143
83,77,0.438
83,82,0.533
84,59,0
84,74,0
84,85,0.222
84,10,0.294
84,99,0.222
84,100,0.05
84,101,0.294
84,86,0.294
84,88,0.312
84,89,0.4
85,99,0.294
85,101,0.294
85,86,0.222
85,87,0.4
85,22,0.05
86,87,0.235
86,88,0.312
86,13,0
86,89,0.312
87,89,0.25
88,113,0
88,89,0.333
90,94,0.375
90,95,0.467
90,7,0
90,8,0.467
90,74,0.056
90,96,0.1
90,56,0.375
90,97,0.375
90,98,0.4
90,20,0.4
91,54,0
91,73,0.294
91,76,0.158
91,78,0.4
91,56,0.1
91,93,0.375
91,79,0.312
91,97,0.1
91,57,0.111
91,80,0.4
92,76,0.059
92,18,0
92,106,0
93,85,0
93,79,0.312
93,81,0
93,80,0.312
94,95,0.467
94,8,0.375
94,92,0
94,56,0.375
94,97,0.467
94,107,0.222
94,65,0.158
94,108,0.048
94,98,0.615
94,20,0.4
95,8,0.467
95,96,0.1
95,69,0
95,56,0.375
95,97,0.467
95,65,0.1
95,98,0.5
95,20,0.4
95,23,0.048
96,17,0
96,111,0.294
96,18,0.312
96,103,0.294
96,100,0.312
96,112,0.294
96,108,0.294
96,113,0.235
97,107,0.1
97,98,0.5
97,20,0.4
97,23,0.048
98,20,0.429
99,101,0.375
99,87,0.4
99,21,0
99,89,0.235
100,101,0.105
100,112,0.312
100,81,0.312
100,52,0
100,113,0.25
101,87,0.312
101,88,0.235
101,89,0.312
102,30,0
102,109,0.467
102,104,0.438
102,83,0.438
102,62,0.467
102,114,0.467
102,115,0.438
102,77,0.467
102,66,0.048
102,82,0.467
103,100,0.4
103,101,0.1
103,112,0.294
103,108,0.294
103,81,0.294
103,113,0.235
104,83,0.412
104,62,0.438
104,114,0.438
104,112,0.045
104,115,0.412
104,77,0.438
104,82,0.438
105,18,0
105,85,0.312
105,10,0.235
105,99,0.312
105,101,0.312
105,86,0.235
105,87,0.333
105,88,0.25
105,36,0
106,32,0
106,10,0.053
106,50,0.214
106,23,0
106,113,0.056
107,65,0.158
107,57,0
107,112,0.048
107,108,0.158
107,12,0.105
107,98,0.167
107,22,0.05
107,77,0
108,81,0.294
108,12,0.05
108,113,0.235
109,104,0.533
109,83,0.438
109,62,0.467
109,114,0.571
109,44,0.048
109,115,0.438
109,77,0.467
109,82,0.467
110,31,0
110,106,0.133
110,103,0.056
110,101,0.118
110,50,0.143
110,89,0.059
111,109,0.048
111,104,0.095
111,18,0.312
111,103,0.294
111,100,0.312
111,112,0.467
111,108,0.294
111,81,0.294
111,88,0
111,51,0
112,86,0
112,108,0.375
112,81,0.294
112,50,0
114,44,0.1
114,115,0.533
114,77,0.467
114,82,0.467
115,19,0
115,52,0
115,77,0.438
115,82,0.533
